2022-08-31 15:16:21.065 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'ICertificateAuthorityMapper' and 'com.yyok.share.kpi.service.mapper.ICertificateAuthorityMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.065 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'IPKIReMapper' and 'com.yyok.share.kpi.service.mapper.IPKIReMapper' mapperInterface. Bean already defined with the same name!
2022-08-31 15:16:21.065 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.yyok.**.**.service.mapper]' package. Please check your configuration.
2022-08-31 15:16:23.678 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.generator.domain.GenConfig".
2022-08-31 15:16:23.683 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.generator.domain.GenConfig ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:24.112 [main] WARN  org.dozer.config.GlobalSettings - Dozer configuration file not found: dozer.properties.  Using defaults for all Dozer global properties.
2022-08-31 15:16:24.145 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.info.domain.Dept".
2022-08-31 15:16:24.146 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.info.domain.Dept ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:24.167 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.info.domain.Job".
2022-08-31 15:16:24.167 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.info.domain.Job ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:24.188 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.RolesDepts".
2022-08-31 15:16:24.188 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.RolesDepts ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:24.252 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.info.domain.User".
2022-08-31 15:16:24.253 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.info.domain.User ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:24.275 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.Account".
